Country Name,Country Code,Country ID
Uganda,UGA,203
Ukraine,UKR,204
United Arab Emirates,ARE,205
United Kingdom,GBR,206
United States,USA,207
Uruguay,URY,208
Uzbekistan,UZB,209
Vanuatu,VUT,210
"Venezuela, RB",VEN,211
Viet Nam,VNM,212
Virgin Islands (U.S.),VIR,213
West Bank and Gaza,PSE,214
"Yemen, Rep.",YEM,215
Zambia,ZMB,216
Zimbabwe,ZWE,217
Africa Eastern and Southern,AFE,218
Africa Western and Central,AFW,219
Arab World,ARB,220
Caribbean small states,CSS,221
Central Europe and the Baltics,CEB,222
Early-demographic dividend,EAR,223
East Asia & Pacific,EAS,224
East Asia & Pacific (excluding high income),EAP,225
East Asia & Pacific (IDA & IBRD countries),TEA,226
Euro area,EMU,227
Europe & Central Asia,ECS,228
Europe & Central Asia (excluding high income),ECA,229
Europe & Central Asia (IDA & IBRD countries),TEC,230
European Union,EUU,231
Fragile and conflict affected situations,FCS,232
Heavily indebted poor countries (HIPC),HPC,233
High income,HIC,234
IBRD only,IBD,235
IDA & IBRD total,IBT,236
IDA blend,IDB,237
IDA only,IDX,238
IDA total,IDA,239
Late-demographic dividend,LTE,240
Latin America & Caribbean,LCN,241
Latin America & Caribbean (excluding high income),LAC,242
Latin America & the Caribbean (IDA & IBRD countries),TLA,243
Least developed countries: UN classification,LDC,244
Low & middle income,LMY,245
Low income,LIC,246
Lower middle income,LMC,247
Middle East & North Africa,MEA,248
Middle East & North Africa (excluding high income),MNA,249
Middle East & North Africa (IDA & IBRD countries),TMN,250
Middle income,MIC,251
North America,NAC,252
Not classified,INX,253
OECD members,OED,254
Other small states,OSS,255
Pacific island small states,PSS,256
Post-demographic dividend,PST,257
Pre-demographic dividend,PRE,258
Small states,SST,259
South Asia,SAS,260
South Asia (IDA & IBRD),TSA,261
Sub-Saharan Africa,SSF,262
Sub-Saharan Africa (excluding high income),SSA,263
Sub-Saharan Africa (IDA & IBRD countries),TSS,264
Upper middle income,UMC,265
World,WLD,266
